user_id,doc_id,rating,event
U01,DOC001,0.5,view
U01,DOC007,0.5,view
U01,DOC018,0.5,view
U01,DOC021,0.5,view
U01,DOC026,0.5,view
U01,DOC032,1,view
U01,DOC036,1,view
U02,DOC001,0.5,view
U02,DOC012,0.5,view
U02,DOC018,0.5,view
U02,DOC023,0.5,view
U02,DOC025,0.5,view
U02,DOC035,1,view
U02,DOC034,1,view
U03,DOC001,1,view
U03,DOC006,1,view
U03,DOC008,0.5,view
U03,DOC014,0.5,view
U03,DOC023,0.5,view
U03,DOC029,0.5,view
U03,DOC031,0.5,view
U04,DOC002,0.5,view
U04,DOC012,0.5,view
U04,DOC018,0.5,view
U04,DOC024,0.5,view
U04,DOC029,1,view
U04,DOC028,1,view
U04,DOC032,0.5,view
U05,DOC005,0.5,view
U05,DOC009,0.5,view
U05,DOC013,0.5,view
U05,DOC020,1,view
U05,DOC022,1,view
U05,DOC027,0.5,view
U05,DOC033,0.5,view
U06,DOC002,0.5,view
U06,DOC009,1,view
U06,DOC007,1,view
U06,DOC013,0.5,view
U06,DOC022,0.5,view
U06,DOC025,0.5,view
U06,DOC033,0.5,view
U07,DOC005,0.5,view
U07,DOC009,0.5,view
U07,DOC013,1,view
U07,DOC016,1,view
U07,DOC023,0.5,view
U07,DOC025,0.5,view
U07,DOC034,0.5,view
U08,DOC005,1,view
U08,DOC003,1,view
U08,DOC012,0.5,view
U08,DOC017,0.5,view
U08,DOC021,0.5,view
U08,DOC029,0.5,view
U08,DOC032,0.5,view
U09,DOC001,0.5,view
U09,DOC007,0.5,view
U09,DOC018,0.5,view
U09,DOC020,0.5,view
U09,DOC027,0.5,view
U09,DOC031,1,view
U09,DOC032,1,view
U10,DOC004,1,view
U10,DOC003,1,view
U10,DOC010,0.5,view
U10,DOC018,0.5,view
U10,DOC021,0.5,view
U10,DOC026,0.5,view
U10,DOC033,0.5,view
U11,DOC002,0.5,view
U11,DOC012,0.5,view
U11,DOC015,1,view
U11,DOC013,1,view
U11,DOC023,0.5,view
U11,DOC030,0.5,view
U11,DOC032,0.5,view
U12,DOC006,0.5,view
U12,DOC008,0.5,view
U12,DOC014,0.5,view
U12,DOC022,0.5,view
U12,DOC028,1,view
U12,DOC027,1,view
U12,DOC036,0.5,view
